States,2015,2016,2017,2018,2019,2020
Andhra Pradesh,274,239,218,240,245,171
Arunachal Pradesh,3,2,0,3,0,2
Assam,1494,91,262,308,201,124
Bihar,381,43,121,127,106,75
Chhattisgarh,69,68,48,51,50,38
Goa,29,40,39,55,38,17
Gujarat,47,548,9,13,11,13
Haryana,275,51,22,34,15,14
Himachal Pradesh,9,8,11,6,11,4
Jammu & Kashmir,2,0,1,1,0,2
Jharkhand,172,109,373,140,177,140
Karnataka,507,404,31,27,32,13
Kerala,151,21,53,105,180,166
Madhya Pradesh,95,51,87,63,73,80
Maharashtra,421,517,310,311,282,184
Manipur,0,3,8,3,9,6
Meghalaya,20,7,8,24,22,1
Mizoram,0,2,2,2,7,0
Nagaland,6,0,0,0,3,0
Odisha,114,84,63,75,147,103
Punjab,86,13,5,17,19,17
Rajasthan,131,1422,316,86,141,128
Sikkim,0,1,3,1,0,1
Tamil Nadu,577,434,13,8,16,11
Telangana,561,229,329,242,137,184
Tripura,16,0,2,2,1,1
Uttar Pradesh,50,79,46,35,48,90
Uttarakhand,27,12,20,29,20,9
West Bengal,1255,3579,357,172,120,59
A & N Islands,1,1,0,0,0,0
Chandigarh,13,1,0,0,2,2
DNH  and  Daman & Diu,3,7,1,0,0,2
Delhi UT,87,66,95,98,93,53
Lakshadweep,0,0,0,0,0,0
Puducherry,1,0,1,0,2,4
